Instance,Size,Repetition,CoolingScheme,UseUB,EpochLen,Alpha,InitTemp,LB(MST),InitCost(UB),BestCost,Time(ms),Memory(KB)
GEN_ATSP_20,20,1,Geometric,No,100,0.99,0,691,-20,2464,82.2233,5300
GEN_ATSP_20,20,2,Geometric,No,100,0.99,0,691,-20,2733,84.5901,5356
GEN_ATSP_20,20,3,Geometric,No,100,0.99,0,691,-20,2914,83.5992,5356
GEN_ATSP_20,20,4,Geometric,No,100,0.99,0,691,-20,2293,85.2791,5356
GEN_ATSP_20,20,5,Geometric,No,100,0.99,0,691,-20,2409,84.5431,5356
GEN_ATSP_20,20,6,Geometric,No,100,0.99,0,691,-20,2550,84.6284,5356
GEN_ATSP_20,20,7,Geometric,No,100,0.99,0,691,-20,2327,84.3423,5356
GEN_ATSP_20,20,8,Geometric,No,100,0.99,0,691,-20,2246,84.6519,5356
GEN_ATSP_20,20,9,Geometric,No,100,0.99,0,691,-20,1828,85.0367,5356
GEN_ATSP_20,20,10,Geometric,No,100,0.99,0,691,-20,2785,83.5822,5356
