N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,357,0.3712,0.1342,0.1382,0,0,0
9,1,270,0.1684,0.1183,0.1281,0,0,0
9,1,487,0.1258,0.0944,0.1031,0,0,0
9,1,379,0.3439,0.1618,0.1734,0,0,0
9,1,323,0.7393,0.2743,0.6685,0,0,0
9,1,234,0.1754,0.1338,0.1503,0,0,0
9,1,396,1.118,0.5924,0.5102,0,0,0
9,1,268,0.4304,0.2205,0.2337,0,0,0
9,1,395,0.316,0.2729,0.2171,0,0,0
9,1,259,0.2561,0.1329,0.1401,0,0,0
9,1,369,0.259,0.3391,0.1478,0,0,0
9,1,296,0.5211,0.1759,0.2155,0,0,0
9,1,337,0.2127,0.1772,0.2336,0,0,0
9,1,347,0.5761,0.2331,0.2241,0,0,0
9,1,352,0.0879,0.0487,0.0527,0,0,0
9,1,364,0.1636,0.1372,0.1591,0,0,0
9,1,371,0.3643,0.3327,0.3426,0,0,0
9,1,502,0.4215,0.3596,0.4807,0,0,0
9,1,327,0.1878,0.1605,0.1801,0,0,0
9,1,376,0.4531,0.3152,0.3706,0,0,0
10,1,342,0.3651,0.2553,0.268,0,0,0
10,1,520,1.2652,0.3639,0.2971,0,0,0
10,1,442,0.9189,0.3842,0.3424,0,0,0
10,1,402,0.7581,0.5696,0.5065,0,0,0
10,1,400,0.5539,0.5154,0.5305,0,0,0
10,1,506,1.3635,0.7662,0.688,0,0,0
10,1,358,0.4112,0.3572,0.3702,0,0,0
10,1,318,0.3787,0.1709,0.1942,0,0,0
10,1,437,0.2744,0.14,0.1439,0,0,0
10,1,494,0.456,0.359,0.4996,0,0,0
10,1,340,7.284,0.6946,1.0215,0,0,0
10,1,465,1.2376,0.5267,0.5966,0,0,0
10,1,406,0.7141,0.5026,0.4567,0,0,0
10,1,283,3.4231,0.4813,0.3368,0,0,0
10,1,346,78.7743,1.9215,2.093,8992,0,0
10,1,436,1.1617,0.4424,0.323,0,0,0
10,1,427,1.6202,2.3741,0.746,0,0,0
10,1,558,0.6468,0.5555,0.4835,0,0,0
10,1,435,1.2262,0.7193,0.6647,0,0,0
10,1,263,0.8297,0.1152,0.091,0,0,0
11,1,434,2.23,0.8162,0.9422,0,0,0
11,1,392,1.1554,0.9039,0.5252,0,0,0
11,1,476,4.4039,1.4785,1.2535,0,0,0
11,1,534,1.7064,1.2227,1.5947,0,0,0
11,1,324,1.7049,0.7145,0.6905,0,0,0
11,1,254,21.8402,1.5281,2.3402,0,0,0
11,1,480,2.2724,1.1918,0.6909,0,0,0
11,1,356,2.5998,1.0257,1.0952,0,0,0
11,1,552,1.9558,0.5482,0.9773,0,0,0
11,1,484,3.9443,1.6836,1.1699,0,0,0
11,1,475,0.4994,0.4825,0.714,0,0,0
11,1,389,0.8862,0.6523,0.6821,0,0,0
11,1,271,2.3767,1.2166,1.3212,0,0,0
11,1,374,2.4733,1.0758,1.1733,0,0,0
11,1,351,24.1153,3.2355,2.0433,0,0,0
11,1,283,0.1491,0.1242,0.1257,0,0,0
11,1,268,3.9689,0.849,1.1195,0,0,0
11,1,437,0.9719,0.9499,1.0005,0,0,0
11,1,300,5.3736,1.5054,1.7229,0,0,0
11,1,428,3.9719,3.7918,3.0007,0,0,0
12,1,398,3.1757,2.2009,1.8573,0,0,0
12,1,492,2.9645,0.9641,1.228,0,0,0
12,1,539,6.5483,5.8204,5.9898,0,0,0
12,1,207,45.1599,2.27,2.2559,4252,0,0
12,1,327,3.779,1.1918,0.8463,0,0,0
12,1,375,229.744,2.5547,4.7786,20912,0,0
12,1,430,52.3328,2.1907,2.4951,4704,0,0
12,1,276,13.0627,3.6713,3.6808,0,0,0
12,1,385,136.239,4.4704,7.3139,12856,0,0
12,1,348,3.2392,2.2041,2.4157,0,0,0
12,1,417,2.3984,2.3301,2.4493,0,0,0
12,1,529,8.5729,4.0484,3.6933,0,0,0
12,1,156,10.082,1.2808,0.6815,0,0,0
12,1,403,72.9406,5.7727,3.9553,6964,0,0
12,1,479,0.7982,0.6201,0.629,0,0,0
12,1,393,7.8897,2.9484,3.2369,0,0,0
12,1,379,4.8191,1.2518,1.526,0,0,0
12,1,397,15.4937,6.5791,8.1177,0,0,0
12,1,302,5.9986,1.0635,0.6875,0,0,0
12,1,240,1.635,1.4572,1.5351,0,0,0
13,1,464,2.4878,2.6399,2.4152,0,0,0
13,1,297,7.0022,2.5542,1.144,0,0,0
13,1,360,6.599,6.5343,7.1919,0,0,0
13,1,305,1.1283,0.8349,0.8575,0,0,0
13,1,610,4.5759,4.8312,4.8459,0,0,0
13,1,416,502.8,19.2616,21.5738,40008,0,0
13,1,336,239.202,5.9584,4.337,19668,0,0
13,1,450,1.6059,1.3786,1.8877,0,0,0
13,1,510,32.7089,3.2955,3.5541,560,0,0
13,1,486,416.874,15.2213,24.3267,31632,0,0
13,1,163,313.652,4.7895,4.6731,25892,0,0
13,1,396,2.1079,2.224,2.1662,0,0,0
13,1,453,23.8319,7.764,4.7488,0,0,0
13,1,417,190.237,14.8962,24.5367,14296,0,0
13,1,520,52.6764,6.0038,7.0505,3700,0,0
13,1,359,30.6669,5.0569,2.159,0,0,0
13,1,299,25.5234,2.02,0.7758,0,0,0
13,1,515,11.6476,8.5851,7.7711,0,0,0
13,1,501,9.1237,2.8771,1.6269,0,0,0
14,1,407,4.4223,4.1871,4.5091,0,0,0
14,1,306,5.4885,1.8892,1.2171,0,0,0
14,1,522,7.7689,6.5986,7.0682,0,0,0
14,1,405,24.0456,9.3222,9.6529,0,0,0
14,1,482,335.154,28.7846,29.9031,19296,0,0
15,1,397,170.186,67.6054,65.9616,10428,964,11904
15,1,525,834.149,64.7868,110.407,55188,104,36988
15,1,317,2068.84,27.225,28.019,140188,0,0
15,1,349,14.5418,9.2205,8.611,0,0,0
15,1,580,1725.49,223.45,448.296,109680,108,131608
