N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
12,1,298,3.1697,0.3269,0.3871,0,0,0
12,1,449,5.1439,0.6526,0.8525,0,0,0
12,1,310,13.5103,0.5636,0.815,0,0,0
12,1,327,0.394,0.2882,0.1854,0,0,0
12,1,318,7.2351,0.8121,0.2466,0,0,0
12,1,275,0.1081,0.0934,0.0947,0,0,0
12,1,410,2.0971,0.5374,0.4862,0,0,0
12,1,377,7.8984,1.2658,0.3915,0,0,0
12,1,367,0.1856,0.1697,0.1644,0,0,0
12,1,395,9.6109,1.3996,0.4089,0,0,0
12,1,405,44.5338,1.3493,0.5958,3604,0,0
12,1,279,1.2597,0.4298,0.4103,0,0,0
12,1,373,0.6153,0.4483,0.3231,0,0,0
13,1,360,9.1964,0.8013,0.6025,0,0,0
13,1,416,12.7049,1.4547,0.304,0,0,0
13,1,295,3.4376,0.8177,0.2793,0,0,0
13,1,290,0.0925,0.0737,0.073,0,0,0
13,1,219,1.1327,0.3427,0.0868,0,0,0
13,1,280,1.0184,0.488,0.216,0,0,0
13,1,311,292.86,1.6118,0.2582,19312,0,0
13,1,270,0.1758,0.3418,0.1536,0,0,0
13,1,452,36.3935,3.9492,1.1485,1452,0,0
13,1,327,2.7958,0.7429,0.6063,0,0,0
13,1,374,49.2893,0.9561,0.632,3284,0,0
13,1,427,0.4881,0.4711,0.4654,0,0,0
13,1,252,9.7211,2.8217,1.1381,0,0,0
13,1,334,19.2279,1.5639,0.3793,0,0,0
13,1,309,3.3048,1.5905,0.3131,0,0,0
13,1,417,0.76,0.3983,0.5401,0,0,0
13,1,322,2.9013,0.6655,0.4643,0,0,0
13,1,281,42.2477,1.575,0.3626,2672,0,0
13,1,267,11.2353,0.9896,0.1367,0,0,0
14,1,343,4.7215,1.2833,0.6359,0,0,0
14,1,293,18.3253,3.0927,0.7639,0,0,0
14,1,231,0.2824,0.1657,0.1695,0,0,0
14,1,263,6.9247,0.6911,0.3568,0,0,0
14,1,327,43.2695,1.5968,1.3808,2336,0,0
15,1,470,7.3582,7.0309,6.4341,0,0,0
15,1,368,98.6985,5.8345,0.8715,6420,0,0
15,1,299,476.284,8.2059,4.0907,27680,0,0
15,1,275,14.1475,1.0957,0.3668,0,0,0
15,1,215,491.439,2.524,1.4058,29720,0,0
