N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,261,0.0795,0.065,0.0676,0,0,0
9,1,247,0.0551,0.0611,0.1862,0,0,0
9,1,283,0.2182,0.1013,0.0633,0,0,0
9,1,328,0.2585,0.0889,0.0596,0,0,0
9,1,181,0.1362,0.2761,0.1077,0,0,0
9,1,232,0.0584,0.0293,0.03,0,0,0
9,1,278,0.1006,0.1029,0.0904,0,0,0
9,1,295,0.4814,0.227,0.1382,0,0,0
9,1,313,0.0985,0.0536,0.0553,0,0,0
9,1,332,0.0643,0.0436,0.0455,0,0,0
9,1,258,0.2627,0.4465,0.0694,0,0,0
9,1,309,0.1767,0.0917,0.1085,0,0,0
9,1,435,0.5382,0.1436,0.2481,0,0,0
9,1,394,1.204,0.1195,0.095,0,0,0
9,1,192,0.0558,0.0277,0.029,0,0,0
9,1,325,1.0954,0.1357,0.1345,0,0,0
9,1,321,0.1571,0.114,0.1166,0,0,0
9,1,355,0.4428,0.106,0.1047,0,0,0
9,1,327,0.1449,0.123,0.0885,0,0,0
10,1,258,0.231,0.1251,0.0927,0,0,0
10,1,293,0.507,0.281,0.3187,0,0,0
10,1,329,3.1475,0.1682,0.1339,0,0,0
10,1,190,2.1102,0.1872,0.1012,0,0,0
10,1,325,0.2776,0.1578,0.1203,0,0,0
10,1,213,0.5772,0.1202,0.133,0,0,0
10,1,279,0.1081,0.094,0.0939,0,0,0
10,1,419,0.1306,0.1562,0.1591,0,0,0
10,1,328,0.9593,0.3643,0.0948,0,0,0
10,1,401,0.9922,0.2103,0.1788,0,0,0
10,1,460,1.0257,0.1759,0.0604,0,0,0
10,1,428,0.788,0.1926,0.1603,0,0,0
10,1,432,0.3169,0.1472,0.0635,0,0,0
10,1,273,0.0508,0.038,0.0373,0,0,0
10,1,378,2.2154,0.5043,0.3479,0,0,0
10,1,391,0.1367,0.1017,0.1008,0,0,0
10,1,179,0.0607,0.046,0.0527,0,0,0
10,1,332,1.9943,0.4547,0.2239,0,0,0
10,1,322,0.1334,0.1542,0.0826,0,0,0
11,1,294,0.2294,0.1465,0.1366,0,0,0
11,1,345,0.1976,0.082,0.0586,0,0,0
11,1,282,0.8559,0.1589,0.0771,0,0,0
11,1,312,1.4734,0.2882,0.1992,0,0,0
11,1,298,0.9406,0.3266,0.2448,0,0,0
11,1,221,0.5116,0.2514,0.0863,0,0,0
11,1,434,1.0387,0.6419,0.2695,0,0,0
11,1,344,1.4636,1.139,0.6753,0,0,0
11,1,368,6.8723,0.3524,0.1916,0,0,0
11,1,420,1.8936,0.5728,0.4785,0,0,0
11,1,266,0.1402,0.0602,0.0781,0,0,0
11,1,425,0.2364,0.1545,0.26,0,0,0
11,1,359,20.6714,0.7553,0.3605,0,0,0
11,1,287,0.0788,0.0398,0.0391,0,0,0
11,1,301,0.6569,0.2303,0.2018,0,0,0
11,1,371,1.8746,1.3406,1.003,0,0,0
11,1,239,0.7827,0.1948,0.0911,0,0,0
11,1,327,0.686,0.1646,0.1004,0,0,0
11,1,323,24.3239,1.2165,0.8227,0,0,0
11,1,274,1.6816,0.6115,0.2711,0,0,0
12,1,288,0.9749,0.366,0.349,0,0,0
12,1,323,3.3677,0.8126,0.5823,0,0,0
12,1,281,1.2819,0.6287,0.4514,0,0,0
12,1,314,6.3019,0.7702,0.5299,0,0,0
12,1,344,0.1743,0.1837,0.112,0,0,0
12,1,339,9.3952,1.5041,1.2133,0,0,0
