N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,261,0.1144,0.0631,0.0646,0,0,0
9,1,247,0.0491,0.0391,0.0412,0,0,0
9,1,283,0.2328,0.1016,0.0607,0,0,0
9,1,328,0.3553,0.1359,0.0894,0,0,0
9,1,181,0.2688,0.1587,0.1474,0,0,0
9,1,232,0.0351,0.0268,0.0296,0,0,0
9,1,278,0.0922,0.082,0.086,0,0,0
9,1,295,1.3452,0.2107,0.1111,0,0,0
9,1,313,0.0671,0.0494,0.0536,0,0,0
9,1,332,0.0508,0.0422,0.0462,0,0,0
9,1,258,0.1733,0.0619,0.0777,0,0,0
9,1,309,0.1664,0.1008,0.0742,0,0,0
9,1,435,0.4959,0.1798,0.0908,0,0,0
9,1,394,1.4337,0.1433,0.0917,0,0,0
9,1,192,0.0492,0.038,0.0419,0,0,0
9,1,325,1.0174,0.133,0.1348,0,0,0
9,1,321,0.1827,0.1185,0.1231,0,0,0
9,1,355,0.2332,0.1134,0.1284,0,0,0
9,1,327,0.2135,0.1193,0.0876,0,0,0
10,1,258,0.1611,0.1228,0.0926,0,0,0
10,1,293,0.6343,0.2812,0.2843,0,0,0
10,1,329,10.9973,0.2095,0.1663,0,0,0
10,1,190,1.8128,0.4443,0.098,0,0,0
10,1,325,0.4403,0.1352,0.0782,0,0,0
10,1,213,0.9505,0.1191,0.171,0,0,0
10,1,279,0.1003,0.0902,0.0936,0,0,0
10,1,419,0.1817,0.1504,0.1047,0,0,0
10,1,328,0.723,0.2468,0.091,0,0,0
10,1,401,1.1251,0.206,0.178,0,0,0
10,1,460,0.7428,0.2549,0.0588,0,0,0
10,1,428,0.8349,0.1967,0.1451,0,0,0
10,1,432,0.3034,0.1012,0.0606,0,0,0
10,1,273,0.0626,0.0216,0.0243,0,0,0
10,1,378,1.8999,0.4217,0.1859,0,0,0
10,1,391,0.1174,0.0996,0.0736,0,0,0
10,1,179,0.0805,0.0648,0.0663,0,0,0
10,1,332,1.4194,0.3752,0.1906,0,0,0
10,1,322,0.1268,0.1007,0.0574,0,0,0
11,1,294,0.2176,0.2098,0.1305,0,0,0
11,1,345,0.0951,0.1459,0.0844,0,0,0
11,1,282,1.0858,0.1546,0.0751,0,0,0
11,1,312,1.6447,0.2866,0.1915,0,0,0
11,1,298,0.8799,0.3064,0.2188,0,0,0
11,1,221,0.3568,0.1643,0.0847,0,0,0
11,1,434,3.1187,0.832,0.5866,0,0,0
11,1,344,1.3428,0.6039,0.537,0,0,0
11,1,368,6.5118,0.4072,0.1934,0,0,0
11,1,420,1.8119,0.5931,0.4879,0,0,0
11,1,266,0.1127,0.0569,0.0799,0,0,0
11,1,425,2.059,0.3321,0.2838,0,0,0
11,1,359,20.8699,0.6858,0.355,0,0,0
11,1,287,0.0684,0.0517,0.0536,0,0,0
11,1,301,0.7236,0.2187,0.0955,0,0,0
11,1,371,1.9145,1.3306,0.8934,0,0,0
11,1,239,0.5698,0.13,0.0832,0,0,0
11,1,327,0.5661,0.1581,0.0965,0,0,0
11,1,323,23.5236,0.8861,0.7574,0,0,0
11,1,274,1.4793,0.5925,0.2779,0,0,0
12,1,288,0.7139,0.3563,0.3565,0,0,0
12,1,323,3.5419,0.6248,0.5957,0,0,0
12,1,281,0.9498,0.6496,0.4433,0,0,0
12,1,314,5.6763,0.8542,0.5326,0,0,0
12,1,344,0.1209,0.1018,0.0993,0,0,0
12,1,339,9.3988,1.499,1.2226,0,0,0
12,1,298,11.7612,0.4822,0.3563,0,0,0
12,1,449,5.8387,0.6485,0.7173,0,0,0
12,1,310,13.8989,0.623,0.8057,0,0,0
12,1,327,0.3834,0.2138,0.1793,0,0,0
12,1,318,5.4006,0.7613,0.2452,0,0,0
12,1,275,0.1499,0.0898,0.0916,0,0,0
12,1,410,2.0917,0.5566,0.6239,0,0,0
12,1,377,7.5663,1.2584,0.5022,0,0,0
12,1,367,0.2097,0.1807,0.1782,0,0,0
12,1,395,9.6226,1.3798,0.3431,0,0,0
12,1,405,44.6445,1.2823,0.6099,3608,0,0
12,1,279,1.3082,0.4267,0.4305,0,0,0
12,1,373,0.625,0.4645,0.3258,0,0,0
13,1,360,9.3046,0.797,0.5942,0,0,0
13,1,416,11.7647,1.5674,0.4852,0,0,0
13,1,295,3.7582,0.8051,0.2735,0,0,0
13,1,290,0.1273,0.0713,0.0699,0,0,0
13,1,219,0.7544,0.3405,0.0828,0,0,0
13,1,280,1.0707,0.3109,0.2164,0,0,0
13,1,311,296.263,1.1589,0.6646,19332,0,0
13,1,270,0.1683,0.1521,0.1537,0,0,0
13,1,452,37.381,2.1091,1.1101,1508,0,0
13,1,327,2.7941,0.7476,0.6015,0,0,0
13,1,374,46.2455,1.1741,0.6297,3280,0,0
13,1,427,0.649,0.4822,0.4695,0,0,0
13,1,252,9.4518,2.915,0.9776,0,0,0
13,1,334,19.371,1.846,0.3614,0,0,0
13,1,309,2.977,1.8698,0.3348,0,0,0
13,1,417,0.889,0.3921,0.8625,0,0,0
13,1,322,2.9837,0.5759,0.4421,0,0,0
13,1,281,40.5263,1.6066,0.3579,2516,0,0
13,1,267,11.541,0.9952,0.1431,0,0,0
14,1,343,4.6203,1.3088,0.6372,0,0,0
14,1,293,17.8473,2.9241,0.7907,0,0,0
14,1,231,0.4533,0.1698,0.1671,0,0,0
14,1,263,12.9905,0.8198,0.3905,0,0,0
14,1,327,43.3641,1.8482,1.2233,2328,0,0
15,1,470,7.4564,7.0151,5.5372,0,0,0
15,1,368,102.625,4.7307,0.687,6420,0,0
15,1,299,497.107,8.3523,4.2072,27676,0,0
15,1,275,14.6739,1.0864,0.3638,0,0,0
15,1,215,486.505,2.5544,1.1979,29720,0,0
