N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,261,2.4411,2.4307,2.3874,0,0,0
9,1,247,2.9495,2.1061,2.3778,0,0,0
9,1,283,2.5076,2.1745,2.2955,0,0,0
9,1,328,2.369,2.1422,2.1811,0,0,0
9,1,181,2.8396,2.3515,2.2687,0,0,0
9,1,232,3.4497,2.3906,2.3634,0,0,0
9,1,278,2.3038,2.3959,2.5396,0,0,0
9,1,295,2.2374,2.2988,2.1298,0,0,0
9,1,313,2.2259,2.0839,2.3469,0,0,0
9,1,332,2.5402,2.1725,2.3834,0,0,0
9,1,258,2.1211,2.1494,2.3123,0,0,0
9,1,309,2.6339,2.3129,2.1696,0,0,0
9,1,435,2.7561,2.1056,2.4566,0,0,0
9,1,394,2.742,2.5249,2.4601,0,0,0
9,1,192,2.3026,2.4228,2.5019,0,0,0
9,1,325,2.696,2.158,2.5352,0,0,0
9,1,321,2.6891,2.366,2.3727,0,0,0
9,1,355,2.6296,2.2277,2.4277,0,0,0
9,1,327,2.6465,2.1683,2.1654,0,0,0
10,1,258,2.6389,2.3195,2.4122,0,0,0
10,1,293,2.8725,2.5036,2.8312,0,0,0
10,1,329,2.9659,2.232,2.295,0,0,0
10,1,190,2.808,2.3392,2.2532,0,0,0
10,1,325,2.4555,2.5477,2.2044,0,0,0
10,1,213,3.0227,2.2906,2.3787,0,0,0
10,1,279,2.8062,2.5595,2.2509,0,0,0
10,1,419,2.8642,2.2498,2.2971,0,0,0
10,1,328,3.0081,2.6635,2.2113,0,0,0
10,1,401,3.057,2.4589,2.3732,0,0,0
10,1,460,2.6395,2.3306,2.3426,0,0,0
10,1,428,3.0693,2.2995,2.4511,0,0,0
10,1,432,2.5437,2.2641,2.5026,0,0,0
10,1,273,2.3802,2.4866,2.2382,0,0,0
10,1,378,2.4731,2.3919,2.4335,0,0,0
10,1,391,2.5106,2.4136,2.5143,0,0,0
10,1,179,2.7534,2.22,2.4508,0,0,0
10,1,332,2.3764,2.667,2.2742,0,0,0
10,1,322,2.7119,2.3748,2.4358,0,0,0
11,1,294,3.0155,2.7428,2.6539,0,0,0
11,1,345,3.2798,2.7461,2.7485,0,0,0
11,1,282,3.1235,2.719,2.9824,0,0,0
11,1,312,4.2984,2.8391,2.9246,0,0,0
11,1,298,3.473,2.9554,3.0102,0,0,0
11,1,221,4.6244,3.0051,4.5075,0,0,0
11,1,434,3.4334,3.6246,2.8205,0,0,0
