N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,357,2.4702,2.1983,2.2141,0,0,0
9,1,270,2.7768,2.1362,2.3881,0,0,0
9,1,487,2.2047,2.128,2.1783,0,0,0
9,1,379,3.1056,2.468,2.6548,0,0,0
9,1,323,2.7977,2.2154,2.641,0,0,0
9,1,234,2.665,2.1815,2.2562,0,0,0
9,1,396,2.8622,2.3432,2.4859,0,0,0
9,1,268,2.5409,2.573,2.4509,0,0,0
9,1,395,2.5006,2.2338,2.3738,0,0,0
9,1,259,2.1968,2.1269,2.1333,0,0,0
9,1,369,2.3626,2.1893,2.6312,0,0,0
9,1,296,2.7852,2.454,2.2095,0,0,0
9,1,337,2.5491,2.2923,2.8494,0,0,0
9,1,347,2.817,2.4313,2.1371,0,0,0
9,1,352,3.0141,2.3386,2.2401,0,0,0
9,1,364,2.6493,2.4135,2.3571,0,0,0
9,1,371,3.1984,2.3917,2.6979,0,0,0
9,1,502,3.0944,2.7008,2.6748,0,0,0
9,1,327,2.2802,2.6533,2.5104,0,0,0
9,1,376,3.6659,2.3931,2.3965,0,0,0
10,1,342,2.5564,2.4856,2.8628,0,0,0
10,1,520,3.3362,2.7079,2.9055,0,0,0
10,1,442,2.4557,2.7886,2.6621,0,0,0
10,1,402,3.003,2.7567,2.9083,0,0,0
10,1,400,3.4323,2.5815,2.7107,0,0,0
10,1,506,3.6532,2.878,3.1515,0,0,0
10,1,358,2.728,2.4062,2.6291,0,0,0
10,1,318,2.5921,2.5688,3.8481,0,0,0
10,1,437,3.4636,2.4042,2.9371,0,0,0
10,1,494,2.8438,2.8719,2.7401,0,0,0
10,1,340,5.0805,4.654,4.8683,0,0,0
10,1,465,3.6628,2.755,2.5915,0,0,0
10,1,406,3.8746,2.4974,2.4473,0,0,0
10,1,283,2.555,2.2138,2.3333,0,0,0
10,1,346,3.3287,3.2612,5.0557,0,0,0
10,1,436,2.6135,3.0601,2.6589,0,0,0
10,1,427,3.0086,2.8354,2.9911,0,0,0
10,1,558,2.9802,2.9598,2.8876,0,0,0
10,1,435,4.3418,3.0107,3.056,0,0,0
10,1,263,3.6154,2.4033,2.3899,0,0,0
11,1,434,7.7612,3.3236,4.0285,0,0,0
11,1,392,6.213,3.5857,2.9678,0,0,0
11,1,476,5.0674,3.6795,3.733,0,0,0
11,1,534,7.4125,4.38,4.3467,0,0,0
11,1,324,4.7086,3.6563,3.0291,0,0,0
11,1,254,7.2933,3.853,3.707,0,0,0
11,1,480,5.1019,3.9581,3.2795,0,0,0
11,1,356,4.7881,3.775,3.843,0,0,0
11,1,552,4.8586,4.2012,3.8066,0,0,0
11,1,484,8.7135,3.8028,3.9917,0,0,0
11,1,475,6.2333,3.1758,3.5202,0,0,0
11,1,389,4.4313,3.7707,3.5697,0,0,0
11,1,271,6.3801,4.1077,3.9055,0,0,0
11,1,374,6.1167,3.3527,3.717,0,0,0
11,1,351,4.6823,5.0717,5.0159,0,0,0
11,1,283,8.9199,3.2814,2.7093,0,0,0
11,1,268,5.5084,3.6406,3.7568,0,0,0
11,1,437,4.3443,3.5067,4.1529,0,0,0
11,1,300,6.2192,3.8477,3.7849,0,0,0
11,1,428,9.2785,5.3048,6.1288,0,0,0
12,1,398,5.8005,6.2334,5.5097,0,0,0
12,1,492,16.4879,3.8934,4.4937,0,0,0
12,1,539,35.1909,9.1782,12.3572,2124,0,0
12,1,207,6.7034,3.6691,4.3521,0,0,0
12,1,327,18.4604,4.7653,3.2293,0,0,0
12,1,375,23.037,4.8325,5.2861,0,0,0
12,1,430,37.9268,5.2238,4.8884,1924,0,0
12,1,276,68.4379,9.0093,9.1784,4836,0,0
12,1,385,37.2433,7.1126,9.0861,1752,0,0
12,1,348,55.7651,5.6765,6.0896,5040,0,0
12,1,417,44.0796,6.8588,7.3748,3584,0,0
12,1,529,28.9296,6.9006,7.0258,0,0,0
12,1,156,5.1138,4.4051,3.4389,0,0,0
12,1,403,57.2636,6.8098,6.0913,5104,0,0
12,1,479,24.8496,5.4627,3.9768,0,0,0
12,1,393,36.5791,6.8165,6.8264,1152,0,0
12,1,379,18.6148,3.9612,4.8134,0,0,0
12,1,397,73.6305,9.0949,11.916,4812,0,0
12,1,302,26.7389,3.8841,4.2709,0,0,0
12,1,240,67.038,5.8713,5.2427,4504,0,0
13,1,464,65.4315,15.7848,12.1877,3396,0,0
13,1,297,55.8561,4.6294,5.0204,3600,0,0
13,1,360,274.821,16.0577,21.7333,17088,0,0
13,1,305,402.092,7.5678,4.1214,28980,0,0
13,1,610,867.451,14.5956,13.9692,65568,0,0
13,1,416,154.425,22.5516,25.7217,10272,0,0
13,1,336,49.6671,9.4899,8.1638,3552,0,0
13,1,450,174.067,6.563,6.2815,11748,0,0
13,1,510,538.412,7.1603,6.9345,38128,0,0
13,1,486,423.053,18.8441,23.044,30624,0,0
13,1,163,17.6128,7.3832,6.6131,0,0,0
13,1,396,384.743,5.9203,7.2762,31360,0,0
13,1,453,188.924,14.1155,10.1886,13920,0,0
