N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
13,1,417,202.031,17.6778,26.9279,14636,0,0
13,1,520,145.585,9.0899,12.2241,10416,0,0
13,1,359,84.4687,4.7875,5.4958,6028,0,0
13,1,299,298.11,5.7651,3.7888,21968,0,0
13,1,515,989.527,19.7809,16.5446,77968,0,0
13,1,501,706.975,7.615,5.2424,56600,0,0
14,1,407,1271.48,12.0329,19.9484,77820,0,0
14,1,306,1676.72,8.1728,5.3571,115424,0,0
14,1,522,4320.59,14.0941,19.232,340032,0,9480
14,1,405,6603.1,18.368,25.2285,530264,80,15256
14,1,482,2553.82,27.2385,42.4648,190608,0,18840
15,1,397,2381.93,138.354,175.784,155992,464,73084
15,1,525,76080.3,82.7218,196.538,5993956,104,75144
15,1,317,32867.6,38.6879,42.1314,2618296,812,17892
15,1,349,4006.91,35.2764,27.9253,291920,96,14232
15,1,580,51057.5,277.229,734.725,3680524,576,315996
