BFS,11,1,374,6.1167,0
DFS,11,1,374,3.3527,0
LowestCost,11,1,374,3.717,0
BFS,11,1,351,4.6823,0
DFS,11,1,351,5.0717,0
LowestCost,11,1,351,5.0159,0
BFS,11,1,283,8.9199,0
DFS,11,1,283,3.2814,0
LowestCost,11,1,283,2.7093,0
BFS,11,1,268,5.5084,0
DFS,11,1,268,3.6406,0
LowestCost,11,1,268,3.7568,0
BFS,11,1,437,4.3443,0
DFS,11,1,437,3.5067,0
LowestCost,11,1,437,4.1529,0
BFS,11,1,300,6.2192,0
DFS,11,1,300,3.8477,0
LowestCost,11,1,300,3.7849,0
BFS,11,1,428,9.2785,0
DFS,11,1,428,5.3048,0
LowestCost,11,1,428,6.1288,0
BFS,12,1,398,5.8005,0
DFS,12,1,398,6.2334,0
LowestCost,12,1,398,5.5097,0
BFS,12,1,492,16.4879,0
DFS,12,1,492,3.8934,0
LowestCost,12,1,492,4.4937,0
BFS,12,1,539,35.1909,2124
DFS,12,1,539,9.1782,0
LowestCost,12,1,539,12.3572,0
BFS,12,1,207,6.7034,0
DFS,12,1,207,3.6691,0
LowestCost,12,1,207,4.3521,0
BFS,12,1,327,18.4604,0
DFS,12,1,327,4.7653,0
LowestCost,12,1,327,3.2293,0
BFS,12,1,375,23.037,0
DFS,12,1,375,4.8325,0
LowestCost,12,1,375,5.2861,0
BFS,12,1,430,37.9268,1924
DFS,12,1,430,5.2238,0
LowestCost,12,1,430,4.8884,0
BFS,12,1,276,68.4379,4836
DFS,12,1,276,9.0093,0
LowestCost,12,1,276,9.1784,0
BFS,12,1,385,37.2433,1752
DFS,12,1,385,7.1126,0
LowestCost,12,1,385,9.0861,0
BFS,12,1,348,55.7651,5040
DFS,12,1,348,5.6765,0
LowestCost,12,1,348,6.0896,0
BFS,12,1,417,44.0796,3584
DFS,12,1,417,6.8588,0
LowestCost,12,1,417,7.3748,0
BFS,12,1,529,28.9296,0
DFS,12,1,529,6.9006,0
LowestCost,12,1,529,7.0258,0
BFS,12,1,156,5.1138,0
DFS,12,1,156,4.4051,0
LowestCost,12,1,156,3.4389,0
BFS,12,1,403,57.2636,5104
DFS,12,1,403,6.8098,0
LowestCost,12,1,403,6.0913,0
