N,Instance,Cost,BFS_Time(ms),DFS_Time(ms),LowestCost_Time(ms),BFS_Mem(KB),DFS_Mem(KB),LowestCost_Mem(KB)
9,1,357,0.4032,0.1843,0.1755,0,0,0
9,1,270,0.1772,0.1304,0.1554,0,0,0
9,1,487,0.1896,0.1273,0.1048,0,0,0
9,1,379,0.3135,0.1613,0.172,0,0,0
9,1,323,1.0778,0.2785,0.3429,0,0,0
9,1,234,0.2508,0.1363,0.1509,0,0,0
9,1,396,0.8593,0.5599,0.5235,0,0,0
9,1,268,0.3226,0.2241,0.2325,0,0,0
9,1,395,0.3128,0.1796,0.1849,0,0,0
9,1,259,0.2746,0.1564,0.1424,0,0,0
9,1,369,0.3929,0.1704,0.1562,0,0,0
9,1,296,0.434,0.279,0.2263,0,0,0
9,1,337,0.211,0.1707,0.1769,0,0,0
9,1,347,0.5434,0.2462,0.1313,0,0,0
9,1,352,0.0674,0.0519,0.053,0,0,0
9,1,364,0.2482,0.1386,0.1452,0,0,0
9,1,371,0.6122,0.7659,0.5764,0,0,0
9,1,502,0.3872,0.4624,0.3882,0,0,0
9,1,327,0.1944,0.2211,0.1815,0,0,0
9,1,376,0.48,0.3123,0.3228,0,0,0
10,1,342,0.489,0.2947,0.4065,0,0,0
10,1,520,1.3061,0.4988,0.3816,0,0,0
10,1,442,1.1223,0.3966,0.3468,0,0,0
10,1,402,1.0413,0.5352,0.5435,0,0,0
10,1,400,0.7293,0.5143,0.6852,0,0,0
10,1,506,1.1732,0.6629,0.685,0,0,0
10,1,358,0.4273,0.3606,0.3757,0,0,0
10,1,318,0.3324,0.1714,0.1991,0,0,0
10,1,437,0.3866,0.1433,0.1446,0,0,0
10,1,494,0.597,0.3708,0.3697,0,0,0
10,1,340,7.4312,0.6866,1.0054,0,0,0
10,1,465,1.2422,0.5337,0.6388,0,0,0
10,1,406,1.1241,0.5055,0.4594,0,0,0
10,1,283,3.149,0.4851,0.3351,0,0,0
10,1,346,80.7306,1.3629,1.7146,8992,0,0
10,1,436,1.127,0.3637,0.2855,0,0,0
10,1,427,0.9163,0.8381,0.8087,0,0,0
10,1,558,0.784,0.3726,0.3586,0,0,0
10,1,435,1.1686,0.9548,0.694,0,0,0
10,1,263,0.7694,0.104,0.2254,0,0,0
11,1,434,2.4093,0.8244,0.9468,0,0,0
11,1,392,0.512,0.3433,0.355,0,0,0
11,1,476,4.2246,1.4865,1.2413,0,0,0
11,1,534,1.9176,1.2524,1.5459,0,0,0
11,1,324,1.8424,0.7619,0.7165,0,0,0
11,1,254,20.2881,1.8374,2.1377,0,0,0
11,1,480,2.5101,1.245,0.7054,0,0,0
11,1,356,2.0001,1.2756,1.095,0,0,0
11,1,552,2.2038,0.56,0.7806,0,0,0
11,1,484,2.3451,1.1371,1.0301,0,0,0
11,1,475,0.5025,0.4871,0.7421,0,0,0
11,1,389,0.7494,0.6685,0.6924,0,0,0
11,1,271,2.682,1.4521,1.3191,0,0,0
11,1,374,2.5636,1.0183,1.2696,0,0,0
11,1,351,25.295,3.3551,2.2435,0,0,0
11,1,283,0.1898,0.1439,0.1286,0,0,0
11,1,268,3.8186,0.9105,1.1279,0,0,0
11,1,437,0.9911,0.9667,0.9903,0,0,0
11,1,300,5.3332,1.5416,1.7252,0,0,0
11,1,428,4.2424,2.6284,3.1784,0,0,0
12,1,398,3.1675,1.9077,2.1026,0,0,0
12,1,492,2.7898,0.9779,1.2234,0,0,0
12,1,539,5.8302,5.7461,6.302,0,0,0
12,1,207,4.5849,1.4147,1.6476,0,0,0
12,1,327,4.0968,1.2153,0.618,0,0,0
12,1,375,218.597,2.4517,4.9308,19952,0,0
12,1,430,53.3264,2.0982,2.6129,4700,0,0
12,1,276,12.5207,3.7559,3.9888,0,0,0
12,1,385,8.3735,3.69,4.4544,0,0,0
12,1,348,3.0679,2.1275,2.2993,0,0,0
12,1,417,2.8272,2.4386,2.395,0,0,0
12,1,529,8.124,3.7591,3.5045,0,0,0
12,1,156,2.67,0.8151,0.5401,0,0,0
12,1,403,76.5957,5.2562,4.4453,6208,0,0
12,1,479,1.2743,0.6152,0.6274,0,0,0
12,1,393,7.6328,2.757,3.7157,0,0,0
12,1,379,4.991,1.2546,1.5736,0,0,0
12,1,397,17.4374,7.4819,9.4283,0,0,0
12,1,302,3.2138,0.7479,0.6181,0,0,0
12,1,240,1.399,1.1658,1.4005,0,0,0
13,1,464,2.6597,2.3718,2.4027,0,0,0
13,1,297,6.7801,2.364,1.1149,0,0,0
13,1,360,6.9834,6.7278,7.2793,0,0,0
13,1,305,1.1189,0.8531,0.8885,0,0,0
13,1,610,4.8572,4.7741,5.1001,0,0,0
