BFS,9,1,169,107.607,29528
DFS,9,1,169,0.2562,0
LowestCost,9,1,169,0.1014,0
BFS,9,1,169,104.868,30252
DFS,9,1,169,0.234,0
LowestCost,9,1,169,0.0865,0
BFS,10,1,344,1032.38,324072
DFS,10,1,344,0.3209,0
LowestCost,10,1,344,0.1279,0
BFS,10,1,344,1037.83,323268
DFS,10,1,344,0.4457,0
LowestCost,10,1,344,0.1662,0
BFS,11,1,348,12703.1,4084736
DFS,11,1,348,1.3959,0
LowestCost,11,1,348,1.1621,0
BFS,11,1,348,12399.2,4084596
DFS,11,1,348,1.0062,0
LowestCost,11,1,348,0.8734,0
BFS,12,1,432,404427,49572976
DFS,12,1,432,6.9793,0
LowestCost,12,1,432,65.7201,14924
BFS,12,1,432,414658,49576304
DFS,12,1,432,2.4427,0
LowestCost,12,1,432,58.6244,16164
